customer_id,age,tenure,monthly_revenue,total_revenue,contract,payment_method,usage,support_tickets,satisfaction,churn
SYN-0127,57,30,2499,74970,Quarterly,Card,94,3,4,No
SYN-0128,66,55,3999,219945,Quarterly,Wallet,45,0,8,No
SYN-0129,53,43,1299,55857,Annual,NetBanking,9,7,3,Yes
SYN-0130,50,56,799,44744,Month-to-month,Card,17,7,9,No
SYN-0131,42,27,1299,35073,Annual,Wallet,65,1,5,No
SYN-0132,45,42,799,33558,Quarterly,Wallet,91,5,9,No
SYN-0133,35,56,799,44744,Annual,UPI,35,1,5,No
SYN-0134,65,28,799,22372,Quarterly,UPI,61,1,3,No
SYN-0135,44,3,2499,7497,Quarterly,Card,42,0,6,No
SYN-0136,26,16,3999,63984,Annual,Wallet,26,2,3,No
SYN-0137,35,40,1299,51960,Quarterly,NetBanking,79,7,3,No
SYN-0138,64,30,2499,74970,Annual,Card,64,0,5,No
SYN-0139,61,5,3999,19995,Quarterly,NetBanking,80,5,5,Yes
SYN-0140,27,30,2499,74970,Month-to-month,Wallet,54,3,8,No
SYN-0141,22,37,2499,92463,Annual,Wallet,94,4,5,No
SYN-0142,39,18,799,14382,Month-to-month,NetBanking,82,0,8,No
SYN-0143,61,15,1299,19485,Month-to-month,UPI,91,4,3,No
SYN-0144,67,20,3999,79980,Month-to-month,UPI,79,0,6,No
SYN-0145,32,59,2499,147441,Month-to-month,Card,100,5,7,No
SYN-0146,51,51,2499,127449,Quarterly,NetBanking,26,4,5,No
SYN-0147,35,52,799,41548,Annual,Wallet,14,7,3,Yes
SYN-0148,37,55,2499,137445,Annual,UPI,55,1,1,No
SYN-0149,61,30,2499,74970,Quarterly,UPI,79,4,7,No
SYN-0150,56,44,1299,57156,Quarterly,Card,8,7,10,No
SYN-0151,62,42,799,33558,Quarterly,UPI,94,7,5,No
SYN-0152,28,9,799,7191,Month-to-month,Card,43,0,8,No
SYN-0153,63,57,1299,74043,Annual,Wallet,63,6,6,No
SYN-0154,52,38,1299,49362,Annual,Wallet,88,6,2,No
SYN-0155,49,18,799,14382,Month-to-month,NetBanking,32,5,8,No
SYN-0156,38,7,2499,17493,Month-to-month,UPI,12,5,7,Yes
SYN-0157,62,55,3999,219945,Annual,UPI,89,1,4,No
SYN-0158,34,4,2499,9996,Month-to-month,Card,21,3,10,No
SYN-0159,59,38,1299,49362,Month-to-month,NetBanking,47,3,3,No
SYN-0160,32,55,1299,71445,Month-to-month,UPI,74,2,5,No
SYN-0161,41,9,799,7191,Month-to-month,Card,35,5,10,No
SYN-0162,54,17,799,13583,Month-to-month,UPI,99,2,7,No
SYN-0163,27,31,3999,123969,Quarterly,Card,70,5,10,No
SYN-0164,24,40,799,31960,Quarterly,Wallet,63,4,1,No
SYN-0165,25,28,799,22372,Month-to-month,NetBanking,96,7,8,No
SYN-0166,60,39,1299,50661,Annual,NetBanking,21,1,5,No
SYN-0167,48,25,2499,62475,Month-to-month,UPI,69,7,10,No
SYN-0168,47,55,1299,71445,Quarterly,Wallet,62,6,4,No
SYN-0169,41,26,3999,103974,Annual,NetBanking,45,1,7,No
SYN-0170,26,24,1299,31176,Month-to-month,Wallet,13,7,2,Yes
SYN-0171,58,7,2499,17493,Annual,NetBanking,76,2,1,No
SYN-0172,67,43,799,34357,Month-to-month,NetBanking,50,6,7,No
SYN-0173,53,39,2499,97461,Month-to-month,Card,18,5,10,No
SYN-0174,56,43,3999,171957,Quarterly,UPI,18,3,6,No
SYN-0175,60,49,2499,122451,Annual,UPI,59,3,9,No
SYN-0176,65,39,2499,97461,Quarterly,NetBanking,28,0,5,No
SYN-0177,63,23,799,18377,Quarterly,UPI,23,2,10,No
SYN-0178,34,10,799,7990,Quarterly,Wallet,100,1,9,No
SYN-0179,67,30,2499,74970,Quarterly,UPI,52,2,5,No
SYN-0180,24,57,799,45543,Annual,UPI,25,2,10,No
SYN-0181,49,18,3999,71982,Quarterly,NetBanking,67,6,10,No
SYN-0182,39,14,799,11186,Annual,Wallet,60,5,2,No
SYN-0183,59,34,2499,84966,Month-to-month,UPI,33,0,7,No
SYN-0184,39,14,2499,34986,Quarterly,UPI,22,3,5,No
SYN-0185,45,1,3999,3999,Annual,Card,27,6,3,Yes
SYN-0186,48,33,2499,82467,Month-to-month,Wallet,55,1,1,No
SYN-0187,57,59,799,47141,Quarterly,Wallet,78,5,7,No
SYN-0188,31,19,799,15181,Annual,Wallet,7,6,6,No
SYN-0189,36,54,2499,134946,Quarterly,Wallet,60,1,2,No
SYN-0190,35,34,799,27166,Quarterly,Card,44,6,6,No
SYN-0191,67,5,799,3995,Annual,Card,49,3,6,No
SYN-0192,32,16,799,12784,Annual,Card,37,2,4,No
SYN-0193,50,49,799,39151,Annual,Wallet,85,2,8,No
SYN-0194,25,44,2499,109956,Quarterly,Wallet,24,5,8,No
SYN-0195,43,41,2499,102459,Annual,UPI,80,4,1,No
SYN-0196,44,20,3999,79980,Quarterly,UPI,9,7,1,Yes
SYN-0197,56,42,799,33558,Annual,UPI,64,6,10,No
SYN-0198,53,29,1299,37671,Month-to-month,UPI,82,5,8,No
SYN-0199,53,29,799,23171,Annual,Card,96,5,2,No
SYN-0200,54,3,1299,3897,Annual,Card,61,7,9,Yes
SYN-0201,42,24,2499,59976,Annual,UPI,54,4,7,No
SYN-0202,56,51,2499,127449,Annual,Wallet,47,1,2,No
SYN-0203,58,19,2499,47481,Annual,Card,47,2,2,No
SYN-0204,29,59,2499,147441,Annual,UPI,88,4,,No
SYN-0205,26,20,3999,79980,Annual,Wallet,21,5,9,No
SYN-0206,32,33,2499,82467,Month-to-month,NetBanking,51,0,5,No
SYN-0207,30,50,3999,199950,Month-to-month,NetBanking,33,3,3,No
SYN-0208,60,55,799,43945,Month-to-month,Wallet,89,0,6,No
SYN-0209,31,10,1299,12990,Annual,Wallet,93,2,10,No
SYN-0210,49,3,3999,11997,Annual,NetBanking,91,5,4,Yes
SYN-0211,40,49,3999,195951,Quarterly,Card,73,3,4,No
SYN-0212,53,24,3999,95976,Annual,Wallet,41,7,7,No
SYN-0213,62,11,1299,14289,Quarterly,NetBanking,37,2,1,No
SYN-0214,31,36,799,28764,Quarterly,Wallet,41,1,2,No
SYN-0215,49,58,1299,75342,Quarterly,UPI,16,6,4,Yes
SYN-0216,36,27,799,21573,Quarterly,UPI,69,6,6,No
SYN-0217,66,24,1299,31176,Annual,NetBanking,45,0,2,No
SYN-0218,51,51,1299,66249,Annual,Card,9,2,5,No
SYN-0219,26,49,3999,195951,Month-to-month,NetBanking,83,7,1,No
SYN-0220,36,14,1299,18186,Quarterly,UPI,19,6,5,No
SYN-0221,50,4,1299,5196,Month-to-month,UPI,86,6,10,Yes
SYN-0222,57,54,3999,215946,Month-to-month,Card,85,0,9,No
SYN-0223,36,19,3999,75981,Annual,Wallet,83,0,6,No
SYN-0224,55,12,799,9588,Annual,UPI,13,5,9,No
SYN-0225,44,25,3999,99975,Quarterly,UPI,86,0,7,No
SYN-0226,58,23,799,18377,Annual,NetBanking,35,5,2,No
SYN-0227,62,9,799,7191,Month-to-month,Wallet,74,5,6,No
SYN-0228,66,45,3999,179955,Quarterly,UPI,22,2,2,Yes
SYN-0229,41,19,1299,24681,Quarterly,Wallet,30,0,1,No
SYN-0230,39,53,3999,211947,Quarterly,UPI,9,4,4,Yes
SYN-0231,48,56,2499,139944,Quarterly,Wallet,20,4,6,No
SYN-0232,65,58,3999,231942,Quarterly,NetBanking,28,5,8,No
SYN-0233,26,60,2499,149940,Quarterly,Card,98,1,7,No
SYN-0234,41,35,2499,87465,Annual,NetBanking,18,5,2,Yes
SYN-0235,43,20,3999,79980,Quarterly,UPI,26,6,8,No
SYN-0236,25,47,2499,117453,Annual,Wallet,40,6,1,No
SYN-0237,64,24,1299,31176,Quarterly,UPI,23,0,10,No
SYN-0238,44,9,799,7191,Quarterly,UPI,87,3,6,No
SYN-0239,49,39,1299,50661,Month-to-month,Card,52,7,6,No
SYN-0240,36,34,2499,84966,Month-to-month,UPI,45,6,5,No
SYN-0241,56,48,1299,62352,Month-to-month,NetBanking,71,7,7,No
SYN-0242,39,50,2499,124950,Annual,Wallet,32,7,10,No
SYN-0243,32,13,799,10387,Annual,Wallet,14,2,8,No
SYN-0244,56,6,2499,14994,Annual,NetBanking,95,5,2,Yes
SYN-0245,44,58,2499,144942,Annual,Card,96,2,3,No
SYN-0246,22,8,1299,10392,Quarterly,NetBanking,35,2,8,No
SYN-0247,46,30,1299,38970,Annual,Wallet,13,1,5,No
SYN-0248,29,34,3999,135966,Quarterly,UPI,78,6,2,No
SYN-0249,61,29,3999,115971,Annual,Card,21,5,9,No
SYN-0250,28,50,1299,64950,Annual,Card,69,6,1,No
SYN-0251,43,20,1299,25980,Annual,NetBanking,46,2,4,No
SYN-0252,38,55,799,43945,Month-to-month,NetBanking,30,4,9,No
SYN-0253,30,40,799,31960,Month-to-month,NetBanking,80,2,10,No
SYN-0254,62,54,799,43146,Annual,NetBanking,15,0,1,Yes
SYN-0255,52,42,1299,54558,Annual,NetBanking,84,6,1,No
SYN-0256,40,42,2499,104958,Quarterly,UPI,36,7,7,No
SYN-0257,51,45,799,35955,Quarterly,Card,61,2,7,No
SYN-0258,67,22,1299,28578,Quarterly,Wallet,96,5,6,No
SYN-0259,50,9,2499,22491,Month-to-month,NetBanking,45,1,4,No
SYN-0260,39,29,1299,37671,Quarterly,Wallet,17,2,1,Yes
SYN-0261,33,16,1299,20784,Month-to-month,Wallet,78,5,6,No
SYN-0262,22,33,3999,131967,Month-to-month,Wallet,44,7,8,No
SYN-0263,43,33,3999,131967,Month-to-month,UPI,32,3,10,No
SYN-0264,21,19,3999,75981,Month-to-month,Wallet,41,7,9,No
SYN-0265,23,9,2499,22491,Quarterly,UPI,56,5,6,No
SYN-0266,25,37,1299,48063,Quarterly,Wallet,75,5,5,No
SYN-0267,46,49,2499,122451,Quarterly,NetBanking,21,1,2,Yes
SYN-0268,53,36,2499,89964,Quarterly,UPI,30,2,10,No
SYN-0269,51,3,799,2397,Annual,Wallet,96,2,6,No
SYN-0270,31,10,1299,12990,Quarterly,NetBanking,83,5,6,No
SYN-0271,40,38,2499,94962,Quarterly,UPI,95,7,10,No
SYN-0272,40,24,2499,59976,Annual,UPI,58,1,10,No
SYN-0273,57,39,3999,155961,Month-to-month,UPI,88,4,10,No
SYN-0274,45,38,3999,151962,Month-to-month,Card,72,2,10,No
SYN-0275,41,3,799,2397,Quarterly,Card,7,3,8,No
SYN-0276,51,27,1299,35073,Annual,UPI,69,6,10,No
SYN-0277,63,46,1299,59754,Quarterly,Wallet,76,3,6,No
SYN-0278,55,21,1299,27279,Quarterly,NetBanking,73,7,6,No
SYN-0279,56,40,3999,159960,Quarterly,Card,36,3,5,No
SYN-0280,41,20,2499,49980,Quarterly,NetBanking,93,3,8,No
SYN-0281,64,36,2499,89964,Annual,Wallet,20,4,10,No
SYN-0282,23,58,3999,231942,Quarterly,UPI,23,5,5,No
SYN-0283,34,23,3999,91977,Month-to-month,NetBanking,100,4,8,No
SYN-0284,68,60,2499,149940,Annual,Card,18,2,10,No
SYN-0285,24,16,799,12784,Month-to-month,Wallet,86,3,4,No
SYN-0286,21,22,3999,87978,Annual,Card,92,1,3,No
SYN-0287,39,27,3999,107973,Quarterly,NetBanking,88,7,4,No
SYN-0288,35,42,799,33558,Annual,UPI,88,1,10,No
SYN-0289,46,59,1299,76641,Quarterly,Card,27,6,1,No
SYN-0290,57,60,2499,149940,Annual,UPI,6,0,5,No
SYN-0291,54,60,2499,149940,Quarterly,Card,63,4,9,No
SYN-0292,42,55,3999,219945,Month-to-month,Wallet,29,4,2,No
SYN-0293,39,42,2499,104958,Annual,Card,6,2,6,No
SYN-0294,26,12,3999,47988,Quarterly,UPI,70,6,6,No
SYN-0295,21,12,1299,15588,Quarterly,Wallet,46,7,4,No
SYN-0296,58,16,3999,63984,Annual,UPI,47,4,5,No
SYN-0297,50,17,2499,42483,Quarterly,Card,12,3,2,Yes
SYN-0298,44,26,2499,64974,Annual,Card,86,1,5,No
SYN-0299,68,15,1299,19485,Annual,NetBanking,24,7,8,No
SYN-0300,26,27,3999,107973,Annual,Wallet,36,3,10,No
SYN-0301,24,34,2499,84966,Annual,Card,77,1,2,No
SYN-0302,49,37,1299,48063,Month-to-month,Card,46,2,9,No
SYN-0303,24,46,3999,183954,Quarterly,Card,70,1,8,No
SYN-0304,56,33,3999,131967,Quarterly,NetBanking,77,7,1,No
SYN-0305,68,47,799,37553,Month-to-month,UPI,37,6,1,No
SYN-0306,55,3,3999,11997,Month-to-month,UPI,94,5,2,Yes
SYN-0307,32,60,3999,239940,Month-to-month,Wallet,41,0,7,No
SYN-0308,26,24,3999,95976,Annual,Card,53,7,7,No
SYN-0309,46,42,2499,104958,Annual,Card,27,1,9,No
SYN-0310,50,47,1299,61053,Annual,Wallet,7,0,5,No
SYN-0311,43,35,3999,139965,Month-to-month,NetBanking,36,3,8,No
SYN-0312,60,13,799,10387,Month-to-month,Card,89,0,7,No
SYN-0313,49,14,799,11186,Annual,UPI,81,1,1,No
SYN-0314,55,16,799,12784,Month-to-month,UPI,61,6,4,No
SYN-0315,41,9,2499,22491,Annual,NetBanking,98,3,10,No
SYN-0316,35,16,2499,39984,Quarterly,NetBanking,89,2,9,No
SYN-0317,56,18,799,14382,Quarterly,UPI,85,2,7,No
SYN-0318,47,23,3999,91977,Month-to-month,NetBanking,94,5,7,No
SYN-0319,40,25,1299,32475,Annual,Card,35,7,4,No
SYN-0320,47,52,3999,207948,Annual,Card,76,0,7,No
SYN-0321,62,25,1299,32475,Month-to-month,Wallet,31,4,6,No
SYN-0322,24,55,2499,137445,Quarterly,Wallet,73,1,4,No
SYN-0323,67,44,799,35156,Annual,Card,29,1,10,No
SYN-0324,34,31,1299,40269,Month-to-month,UPI,43,5,1,No
SYN-0325,66,48,3999,191952,Month-to-month,Wallet,94,3,10,No
SYN-0326,50,59,1299,76641,Annual,NetBanking,41,5,7,No
SYN-0327,50,20,2499,49980,Month-to-month,Wallet,70,5,8,No
SYN-0328,47,49,2499,122451,Month-to-month,Card,52,3,6,No
SYN-0329,58,48,1299,62352,Annual,Wallet,38,0,9,No
SYN-0330,45,19,1299,24681,Annual,Card,47,3,4,No
SYN-0331,50,32,2499,79968,Month-to-month,NetBanking,67,4,8,No
SYN-0332,62,11,1299,14289,Month-to-month,UPI,28,7,9,No
SYN-0333,29,54,799,43146,Annual,Card,5,0,7,No
SYN-0334,50,5,1299,6495,Quarterly,UPI,32,0,9,No
SYN-0335,55,40,3999,159960,Annual,Wallet,7,7,1,Yes
SYN-0336,22,1,799,799,Annual,Wallet,73,4,5,Yes
SYN-0337,30,52,1299,67548,Month-to-month,Card,17,1,9,No
SYN-0338,26,40,2499,99960,Quarterly,Wallet,39,5,7,No
SYN-0339,62,30,1299,38970,Annual,UPI,43,3,2,No
SYN-0340,51,6,3999,23994,Month-to-month,UPI,53,6,9,Yes
SYN-0341,62,45,1299,58455,Quarterly,UPI,68,1,7,No
SYN-0342,51,58,799,46342,Quarterly,UPI,32,3,10,No
SYN-0343,63,60,799,47940,Month-to-month,Card,74,4,10,No
SYN-0344,30,60,2499,149940,Annual,Wallet,31,0,10,No
SYN-0345,36,60,799,47940,Annual,Wallet,25,4,10,No
SYN-0346,65,44,2499,109956,Annual,UPI,99,6,3,No
SYN-0347,35,33,2499,82467,Month-to-month,NetBanking,17,0,7,No
SYN-0348,49,39,3999,155961,Quarterly,Card,8,5,5,No
SYN-0349,63,23,3999,91977,Quarterly,UPI,28,6,10,No
SYN-0350,26,50,2499,124950,Quarterly,Card,96,3,2,No
SYN-0351,27,25,1299,32475,Month-to-month,UPI,45,6,6,No
SYN-0352,29,20,3999,79980,Month-to-month,Card,39,5,2,No
SYN-0353,26,28,3999,111972,Quarterly,UPI,18,6,1,Yes
SYN-0354,47,39,2499,97461,Quarterly,UPI,6,6,5,No
SYN-0355,31,47,1299,61053,Month-to-month,NetBanking,92,2,7,No
SYN-0356,31,20,2499,49980,Quarterly,NetBanking,23,7,2,Yes
SYN-0357,37,27,2499,67473,Month-to-month,Wallet,14,7,6,No
SYN-0358,40,39,1299,50661,Month-to-month,Wallet,18,7,3,Yes
SYN-0359,48,22,3999,87978,Annual,Card,61,5,6,No
SYN-0360,32,20,2499,49980,Quarterly,NetBanking,66,3,6,No
SYN-0361,38,19,3999,75981,Quarterly,NetBanking,46,3,7,No
SYN-0362,22,8,1299,10392,Annual,Wallet,92,2,9,No
SYN-0363,47,46,1299,59754,Annual,Wallet,42,7,2,No
SYN-0364,66,9,2499,22491,Quarterly,Wallet,37,3,3,No
SYN-0365,55,5,3999,19995,Annual,Wallet,79,7,7,Yes
SYN-0366,59,35,799,27965,Annual,UPI,94,5,9,No
SYN-0367,23,7,1299,9093,Annual,Wallet,26,5,10,Yes
SYN-0368,27,49,2499,122451,Quarterly,Card,18,6,1,Yes
SYN-0369,50,33,1299,42867,Annual,Card,52,7,7,No
SYN-0370,47,23,799,18377,Month-to-month,UPI,18,7,5,No
SYN-0371,50,54,1299,70146,Month-to-month,Wallet,44,5,6,No
SYN-0372,41,23,3999,91977,Month-to-month,NetBanking,61,1,8,No
SYN-0373,64,3,799,2397,Month-to-month,Card,48,0,2,No
SYN-0374,48,34,1299,44166,Quarterly,Card,47,2,9,No
SYN-0375,46,52,3999,207948,Month-to-month,Card,28,2,7,No
SYN-0376,34,29,3999,115971,Quarterly,UPI,5,6,4,Yes
SYN-0377,33,37,799,29563,Quarterly,UPI,51,2,6,No
SYN-0378,60,17,3999,67983,Quarterly,UPI,81,5,7,No
SYN-0379,64,23,2499,57477,Annual,NetBanking,84,7,3,No
SYN-0380,36,59,799,47141,Quarterly,UPI,45,2,2,No
SYN-0381,47,12,2499,29988,Annual,Card,70,2,7,No
SYN-0382,61,37,3999,147963,Annual,Card,28,6,8,No
SYN-0383,32,36,1299,46764,Quarterly,Wallet,41,7,3,No
SYN-0384,29,40,799,31960,Month-to-month,Wallet,6,5,8,No
SYN-0385,47,36,3999,143964,Annual,Wallet,92,6,8,No
SYN-0386,35,32,1299,41568,Quarterly,UPI,77,1,1,No
SYN-0387,57,18,1299,23382,Annual,Wallet,26,4,8,No
SYN-0388,44,36,799,28764,Annual,UPI,39,1,9,No
SYN-0389,68,49,3999,195951,Annual,Card,59,3,2,No
SYN-0390,26,20,799,15980,Quarterly,UPI,38,7,6,No
SYN-0391,65,50,1299,64950,Quarterly,Wallet,99,3,10,No
SYN-0392,57,11,1299,14289,Quarterly,NetBanking,31,3,1,No
SYN-0393,39,39,1299,50661,Annual,NetBanking,95,5,5,No
SYN-0394,38,55,799,43945,Annual,Card,57,2,1,No
SYN-0395,36,45,1299,58455,Annual,Wallet,23,3,6,No
SYN-0396,45,32,1299,41568,Quarterly,UPI,85,4,7,No
